#languageTag	#level	#worksheet	#problemNo	#sequenceType	#voiceSource	#problemSentence	#exampleNumber1	#exampleNumber2	#exampleNumber3	#exampleNumber4	#exampleWord1	#exampleWord2	#exampleWord3	#exampleWord4	#rightFormula	#rightAnswer	#objectValueA	#objectValueB	#objectValueC	#objectValueD	#equationValueA	#equationValueB	#equationSign	#equationUnknown	#objectSourceA	#objectSourceB	#objectSourceC	#objectSourceD
en-US	1	1	1	1	"मोहनलाल की मुर्गी ने कल 6 अंडे और आज 3 अंडे दिए। मोहनलाल की मुर्गी ने कितने अंडे दिए?"	मोहनलाल की मुर्गी ने कल 6 अंडे और आज 3 अंडे दिए। मोहनलाल की मुर्गी ने कितने अंडे दिए?	6	7	8	9	eggs	eggs	eggs	eggs	6 + 3 = <9>	4	6	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-red.png		
en-US	1	1	2	1	"फेंस पर 2 पक्षी बैठे थे। 4 और पक्षी जुड़े। कितने पक्षी फेंस पर हैं?"	फेंस पर 2 पक्षी बैठे थे। 4 और पक्षी जुड़े। कितने पक्षी फेंस पर हैं?	6	7	8	9	birds	birds	birds	birds	2 + 4 = <6>	1	2	4	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	1	1	3	1	"जब वह स्कूल में गणित करती है, अनु स्टार स्टिकर कमाती है। कल, अनु ने 4 स्टार कमाए। आज उसने 3 और कमाए। अनु ने सभी में कितने स्टार कमाए?"	जब वह स्कूल में गणित करती है, अनु स्टार स्टिकर कमाती है। कल, अनु ने 4 स्टार कमाए। आज उसने 3 और कमाए। अनु ने सभी में कितने स्टार कमाए?	6	7	8	9	stars	stars	stars	stars	4 + 3 = <7>	2	4	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	1	1	4	1	"दीपेश के पास 6 किताबें हैं। कार्तिक  के पास 2 किताबें हैं। उनके पास सभी में कितनी किताबें हैं?"	दीपेश के पास 6 किताबें हैं। कार्तिक के पास 2 किताबें हैं। उनके पास सभी में कितनी किताबें हैं?	3	5	7	8	books	books	books	books	6 + 2 = <8>	4	6	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	1	1	5	1	"रूही ने दोपहर के भोजन में 3 याम और रात के खाने में 5 याम परोसे। दिन में कितने याम परोसे गए?"	रूही ने दोपहर के भोजन में 3 याम और रात के खाने में 5 याम परोसे। दिन में कितने याम परोसे गए?	4	6	8	10	yams	yams	yams	yams	3 + 5 = <8>	3	3	5	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
en-US	1	2	1	1	"दीपेश के पास 6 किताबें हैं। कार्तिक  के पास 2 किताबें हैं। उनके पास सभी में कितनी किताबें हैं?"	दीपेश के पास 6 किताबें हैं। कार्तिक के पास 2 किताबें हैं। उनके पास सभी में कितनी किताबें हैं?	3	5	7	8	books	books	books	books	6 + 2 = <8>	4	6	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	1	2	2	1	"रूही ने दोपहर के भोजन में 3 याम और रात के खाने में 5 याम परोसे। दिन में कितने याम परोसे गए?"	रूही ने दोपहर के भोजन में 3 याम और रात के खाने में 5 याम परोसे। दिन में कितने याम परोसे गए?	4	6	8	10	yams	yams	yams	yams	3 + 5 = <8>	3	3	5	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
en-US	1	2	3	1	"7 रेड एप्पल और 2 ग्रीन एप्पल टोकरी में हैं। टोकरी में कितने एप्पल हैं?"	7 रेड एप्पल और 2 ग्रीन एप्पल टोकरी में हैं। टोकरी में कितने एप्पल हैं?	6	7	8	9	apples	apples	apples	apples	7 + 2 = <9>	4	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-green.png		
en-US	1	2	4	1	"नियति ने सुबह 5 मछलियाँ पकड़ीं। उसने दोपहर में 4 और मछलियाँ पकड़ीं। नियति ने कुल कितनी मछली पकड़ीं?"	नियति ने सुबह 5 मछलियाँ पकड़ीं। उसने दोपहर में 4 अौर मछलियाँ पकड़ीं। नियति ने कुल कितनी मछली पकड़ीं?	6	7	8	9	fish	fish	fish	fish	5 + 4 = <9>	4	5	4	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	1	2	5	1	"जब वह स्कूल में गणित करती है, अनु स्टार स्टिकर कमाती है। कल, अनु ने 4 स्टार कमाए। आज उसने 3 और कमाए। अनु ने सभी में कितने स्टार कमाए?"	जब वह स्कूल में गणित करती है, अनु स्टार स्टिकर कमाती है। कल, अनु ने 4 स्टार कमाए। आज उसने 3 और कमाए। अनु ने सभी में कितने स्टार कमाए?	6	7	8	9	stars	stars	stars	stars	4 + 3 = <7>	2	4	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	1	3	1	1	"7 रेड एप्पल और 2 ग्रीन एप्पल टोकरी में हैं। टोकरी में कितने एप्पल हैं?"	7 रेड एप्पल और 2 ग्रीन एप्पल टोकरी में हैं। टोकरी में कितने एप्पल हैं?	6	7	8	9	apples	apples	apples	apples	7 + 2 = <9>	4	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-green.png		
en-US	1	3	2	1	"मोहनलाल की मुर्गी ने कल 6 अंडे और आज 3 अंडे दिए। मोहनलाल की मुर्गी ने कितने अंडे दिए?"	मोहनलाल की मुर्गी ने कल 6 अंडे और आज 3 अंडे दिए। मोहनलाल की मुर्गी ने कितने अंडे दिए?	6	7	8	9	eggs	eggs	eggs	eggs	6 + 3 = <9>	4	6	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-red.png		
en-US	1	3	3	1	"जब वह स्कूल में गणित करती है, अनु स्टार स्टिकर कमाती है। कल, अनु ने 4 स्टार कमाए। आज उसने 3 और कमाए। अनु ने सभी में कितने स्टार कमाए?"	जब वह स्कूल में गणित करती है, अनु स्टार स्टिकर कमाती है। कल, अनु ने 4 स्टार कमाए। आज उसने 3 और कमाए। अनु ने सभी में कितने स्टार कमाए?	6	7	8	9	stars	stars	stars	stars	4 + 3 = <7>	2	4	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	1	3	4	1	"दीपेश के पास 6 किताबें हैं। कार्तिक के पास 2 किताबें हैं। उनके पास सभी में कितनी किताबें हैं?"	दीपेश के पास 6 किताबें हैं। कार्तिक के पास 2 किताबें हैं। उनके पास सभी में कितनी किताबें हैं?	3	5	7	8	books	books	books	books	6 + 2 = <8>	4	6	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	1	3	5	1	"नियति ने सुबह 5 मछलियाँ पकड़ीं। उसने दोपहर में 4 और मछलियाँ पकड़ीं। नियति ने कुल कितनी मछली पकड़ीं?"	नियति ने सुबह 5 मछलियाँ पकड़ीं। उसने दोपहर में 4 अौर मछलियाँ पकड़ीं। नियति ने कुल कितनी मछली पकड़ीं?	6	7	8	9	fish	fish	fish	fish	5 + 4 = <9>	4	5	4	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	2	1	1	4	"बिली के पास 2 मार्बल्स हैं। लता के पास बिली की तुलना में 3 अधिक मार्बल्स हैं। लता के पास कितने मार्बल्स हैं?"	बिली के पास 2 मार्बल्स हैं। लता के पास बिली की तुलना में 3 अधिक मार्बल्स हैं। लता के पास कितने मार्बल्स हैं?	2	3	5	8	marbles	marbles	marbles	marbles	2 + 3 = <5>	3	2	5	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	2	1	2	4	"गणेश के पास 4 डाक टिकट हैं। दानिश के पास गणेश की तुलना में 5 अधिक डाक टिकट हैं। दानिश के पास कितने डाक टिकट हैं?"	गणेश के पास 4 डाक टिकट हैं। दानिश के पास गणेश की तुलना में 5 अधिक डाक टिकट हैं। दानिश के पास कितने डाक टिकट हैं?	4	5	9	11	stamps	stamps	stamps	stamps	4 + 5 = <9>	3	4	9	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	2	1	3	4	"स्कूल में दो खोया-पाया बक्से हैं। पहले बॉक्स में, 5 टोपी हैं। दूसरे बॉक्स में, पहले बॉक्स की तुलना में 4 अधिक टोपी हैं। दूसरे बॉक्स में कितनी टोपियाँ हैं?"	स्कूल में दो खोया-पाया बक्से हैं। पहले बॉक्स में, 5 टोपी हैं। दूसरे बॉक्स में, पहले बॉक्स की तुलना में 4 अधिक टोपी हैं। दूसरे बॉक्स में कितनी टोपियाँ हैं?	5	9	14	15	hats	hats	hats	hats	5 + 4 = <9>	2	5	9	0	0					wordwindow-stone-yellow.png	wordwindow-stone-red.png		
en-US	2	1	4	4	"मुकुल ने मेघा की तुलना में 3 अधिक पुस्तकें खरीदीं। मेघा ने 1 किताब खरीदी। मुकुल ने कितनी किताबें खरीदीं?"	मुकुल ने मेघा की तुलना में 3 अधिक पुस्तकें खरीदीं। मेघा ने 1 किताब खरीदी। मुकुल ने कितनी किताबें खरीदीं?	3	4	5	6	books	books	books	books	1 + 3 = <4>	2	4	1	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
en-US	2	1	5	4	"रमेशना के पास फतौ से 5 ज्यादा पहेलियां हैं। फतौ के पास 3 पहेलियां हैं। रमेशना के पास कितनी पहेलियां हैं?"	रमेशना के पास फतौ से 5 ज्यादा पहेलियां हैं। फतौ के पास 3 पहेलियां हैं। रमेशना के पास कितनी पहेलियां हैं?	6	7	8	9	puzzles	puzzles	puzzles	puzzles	3 + 5 = <8>	3	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	2	2	1	4	"गणेश के पास 4 डाक टिकट हैं। दानिश के पास गणेश की तुलना में 5 अधिक डाक टिकट हैं। दानिश के पास कितने डाक टिकट हैं?"	गणेश के पास 4 डाक टिकट हैं। दानिश के पास गणेश की तुलना में 5 अधिक डाक टिकट हैं। दानिश के पास कितने डाक टिकट हैं?	4	5	9	11	stamps	stamps	stamps	stamps	4 + 5 = <9>	3	4	9	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	2	2	2	4	"शशांक के खेत में 2 बकरियाँ हैं। उसके खेत पर बकरियों की तुलना में 6 अधिक मुर्गियां हैं। उसके पास कितनी मुर्गियां हैं?"	शशांक के खेत में 2 बकरियाँ हैं। उसके खेत पर बकरियों की तुलना में 6 अधिक मुर्गियां हैं। उसके पास कितनी मुर्गियां हैं?	2	6	8	12	chickens	chickens	chickens	chickens	2 + 6 = <8>	3	2	8	0	0					wordwindow-stone-red.png	wordwindow-stone-green.png		
en-US	2	2	3	4	"ईशा 5 साल की है। उसकी बहन गौरीी ईशा से 2 साल बड़ी है। गौरीी की उम्र कितनी है?"	ईशा 5 साल की है। उसकी बहन गौरीी ईशा से 2 साल बड़ी है। गौरीी की उम्र कितनी है?	2	5	7	9	years old	years old	years old	years old	5 + 2 = <7>	3	5	7	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	2	2	4	4	"पुस्तकालय में स्कूल कार्यालय की तुलना में 5 अधिक टेबल हैं। स्कूल के कार्यालय में 2 टेबल हैं। पुस्तकालय में कितने टेबल हैं?"	पुस्तकालय में स्कूल कार्यालय की तुलना में 5 अधिक टेबल हैं। स्कूल के कार्यालय में 2 टेबल हैं। पुस्तकालय में कितने टेबल हैं?	5	7	9	11	tables	tables	tables	tables	2 + 5 = <7>	2	7	2	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
en-US	2	2	5	4	"मुकुल ने मेघा की तुलना में 3 अधिक पुस्तकें खरीदीं। मेघा ने 1 किताब खरीदी। मुकुल ने कितनी किताबें खरीदीं?"	मुकुल ने मेघा की तुलना में 3 अधिक पुस्तकें खरीदीं। मेघा ने 1 किताब खरीदी। मुकुल ने कितनी किताबें खरीदीं?	3	4	5	6	books	books	books	books	1 + 3 = <4>	2	4	1	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
en-US	2	3	1	4	"ईशा 5 साल की है। उसकी बहन गौरीी ईशा से 2 साल बड़ी है। गौरीी की उम्र कितनी है?"	ईशा 5 साल की है। उसकी बहन गौरीी ईशा से 2 साल बड़ी है। गौरीी की उम्र कितनी है?	2	5	7	9	years old	years old	years old	years old	5 + 2 = <7>	3	5	7	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	2	3	2	4	"गणेश के पास 4 डाक टिकट हैं। दानिश के पास गणेश की तुलना में 5 अधिक डाक टिकट हैं। दानिश के पास कितने डाक टिकट हैं?"	गणेश के पास 4 डाक टिकट हैं। दानिश के पास गणेश की तुलना में 5 अधिक डाक टिकट हैं। दानिश के पास कितने डाक टिकट हैं?	4	5	9	11	stamps	stamps	stamps	stamps	4 + 5 = <9>	3	4	9	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	2	3	3	4	"बिली के पास 2 मार्बल्स हैं। लता के पास बिली की तुलना में 3 अधिक मार्बल्स हैं। लता के पास कितने मार्बल्स हैं?"	बिली के पास 2 मार्बल्स हैं। लता के पास बिली की तुलना में 3 अधिक मार्बल्स हैं। लता के पास कितने मार्बल्स हैं?	2	3	5	8	marbles	marbles	marbles	marbles	2 + 3 = <5>	3	2	5	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	2	3	4	4	"रमेशना के पास फतौ से 5 ज्यादा पहेलियां हैं। फतौ के पास 3 पहेलियां हैं। रमेशना के पास कितनी पहेलियां हैं?"	रमेशना के पास फतौ से 5 ज्यादा पहेलियां हैं। फतौ के पास 3 पहेलियां हैं। रमेशना के पास कितनी पहेलियां हैं?	6	7	8	9	puzzles	puzzles	puzzles	puzzles	3 + 5 = <8>	3	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	2	3	5	4	"पुस्तकालय में स्कूल कार्यालय की तुलना में 5 अधिक टेबल हैं। स्कूल के कार्यालय में 2 टेबल हैं। पुस्तकालय में कितने टेबल हैं?"	पुस्तकालय में स्कूल कार्यालय की तुलना में 5 अधिक टेबल हैं। स्कूल के कार्यालय में 2 टेबल हैं। पुस्तकालय में कितने टेबल हैं?	5	7	9	11	tables	tables	tables	tables	2 + 5 = <7>	2	7	2	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
en-US	3	1	1	2	"एक शाखा पर 4 पक्षी बैठे हैं। 1 उड़ गया। शाखा पर कितने पक्षी बचे हैं?"	एक शाखा पर 4 पक्षी बैठे हैं। 1 उड़ गया। शाखा पर कितने पक्षी बचे हैं?	2	3	4	5	birds	birds	birds	birds	4 - 1 = <3>	2	4	1	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	3	1	2	2	"आसमान में 9 पतंगें उड़ रही हैं। एक हवा 3 पतंगों को जमीन पर गिरा देती है। कितनी पतंगें अभी भी आसमान में उड़ रही हैं?"	आसमान में 9 पतंगें उड़ रही हैं। एक हवा 3 पतंगों को जमीन पर गिरा देती है। कितनी पतंगें अभी भी आसमान में उड़ रही हैं?	5	6	7	8	kites	kites	kites	kites	9 - 3 = <6>	2	9	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-yellow.png		
en-US	3	1	3	2	"5 एपल्स टेबल पर हैं। रेहमान 2 एपल्स खाता है। टेबल पर कितने एपल्स बचे हैं?"	5 एपल्स टेबल पर हैं। रेहमान 2 एपल्स खाता है। टेबल पर कितने एपल्स बचे हैं?	2	3	4	5	apples	apples	apples	apples	5 - 2  = <3>	2	5	2	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	3	1	4	2	"हैना 8 रोटियाँ बनाती है। वह अपने भाई को 3 रोटियाँ देती है। उसके पास कितनी रोटियाँ बची हैं?"	हैना 8 रोटियाँ बनाती है। वह अपने भाई को 3 रोटियाँ देती है। उसके पास कितनी रोटियाँ बची हैं?	8	7	6	5	rotis	rotis	rotis	rotis	8 - 3 = <5>	4	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
en-US	3	1	5	2	"राखी 4 कंगन बनाती है। वह उनमें से 2 अपने दोस्त को देती है। राखी के पास कितने कंगन बचे हैं?"	राखी 4 कंगन बनाती है। वह उनमें से 2 अपने दोस्त को देती है। राखी के पास कितने कंगन बचे हैं?	1	2	3	4	bracelet	bracelets	bracelets	bracelets	4 - 2 = <2>	2	4	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-red.png		
en-US	3	2	1	2	"पुष्प के पास 7 बिस्कुट हैं। वह उनमें से 2 खाती है। उसके पास कितनी बिस्कुट बची हैं?"	पुष्प के पास 7 बिस्कुट हैं। वह उनमें से 2 खाती है। उसके पास कितनी बिस्कुट बची हैं?	3	4	5	6	biscuits	biscuits	biscuits	biscuits	7 - 2 = <5>	3	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	3	2	2	2	"हैना 8 रोटियाँ बनाती है। वह अपने भाई को 3 रोटियाँ देती है। उसके पास कितनी रोटियाँ बची हैं?"	हैना 8 रोटियाँ बनाती है। वह अपने भाई को 3 रोटियाँ देती है। उसके पास कितनी रोटियाँ बची हैं?	8	7	6	5	rotis	rotis	rotis	rotis	8 - 3 = <5>	4	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
en-US	3	2	3	2	"पूजा के 9 कंगन हैं। वह उनमें से 2 खो देती है। पूजा के पास अभ कितने कंगन बचे हैं?"	पूजा के 9 कंगन हैं। वह उनमें से 2 खो देती है। पूजा के पास अभ कितने कंगन बचे हैं?	9	7	5	3	bracelets	bracelets	bracelets	bracelets	9 - 2 = <7>	2	9	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	3	2	4	2	"आसमान में 9 पतंगें उड़ रही हैं। एक हवा 3 पतंगों को जमीन पर गिरा देती है। कितनी पतंगें अभी भी आसमान में उड़ रही हैं?"	आसमान में 9 पतंगें उड़ रही हैं। एक हवा 3 पतंगों को जमीन पर गिरा देती है। कितनी पतंगें अभी भी आसमान में उड़ रही हैं?	5	6	7	8	kites	kites	kites	kites	9 - 3 = <6>	2	9	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-yellow.png		
en-US	3	2	5	2	"पुष्प के पास 7 बिस्कुट हैं। वह उनमें से 2 खाती है। उसके पास कितनी बिस्कुट बची हैं?"	पुष्प के पास 7 बिस्कुट हैं। वह उनमें से 2 खाती है। उसके पास कितनी बिस्कुट बची हैं?	3	4	5	6	biscuits	biscuits	biscuits	biscuits	7 - 2 = <5>	3	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	3	3	1	2	"5 एपल्स टेबल पर हैं। रेहमान 2 एपल्स खाता है। टेबल पर कितने एपल्स बचे हैं?"	5 एपल्स टेबल पर हैं। रेहमान 2 एपल्स खाता है। टेबल पर कितने एपल्स बचे हैं?	2	3	4	5	apples	apples	apples	apples	5 - 2  = <3>	2	5	2	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	3	3	2	2	"हैना 8 रोटियाँ बनाती है। वह अपने भाई को 3 रोटियाँ देती है। उसके पास कितनी रोटियाँ बची हैं?"	हैना 8 रोटियाँ बनाती है। वह अपने भाई को 3 रोटियाँ देती है। उसके पास कितनी रोटियाँ बची हैं?	8	7	6	5	rotis	rotis	rotis	rotis	8 - 3 = <5>	4	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
en-US	3	3	3	2	"पूजा के 9 कंगन हैं। वह उनमें से 2 खो देती है। पूजा के पास अभ कितने कंगन बचे हैं?"	पूजा के 9 कंगन हैं। वह उनमें से 2 खो देती है। पूजा के पास अभ कितने कंगन बचे हैं?	9	7	5	3	bracelets	bracelets	bracelets	bracelets	9 - 2 = <7>	2	9	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	3	3	4	2	"आसमान में 9 पतंगें उड़ रही हैं। एक हवा 3 पतंगों को जमीन पर गिरा देती है। कितनी पतंगें अभी भी आसमान में उड़ रही हैं?"	आसमान में 9 पतंगें उड़ रही हैं। एक हवा 3 पतंगों को जमीन पर गिरा देती है। कितनी पतंगें अभी भी आसमान में उड़ रही हैं?	5	6	7	8	kites	kites	kites	kites	9 - 3 = <6>	2	9	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-yellow.png		
en-US	3	3	5	2	"पुष्प के पास 7 बिस्कुट हैं। वह उनमें से 2 खाती है। उसके पास कितनी बिस्कुट बची हैं?"	पुष्प के पास 7 बिस्कुट हैं। वह उनमें से 2 खाती है। उसके पास कितनी बिस्कुट बची हैं?	3	4	5	6	biscuits	biscuits	biscuits	biscuits	7 - 2 = <5>	3	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	4	1	1	4	"6 पक्षी और 3 घोंसले हैं। घोंसलों की तुलना में कितने अधिक पक्षी हैं"	6 पक्षी और 3 घोंसले हैं। घोंसलों की तुलना में कितने अधिक पक्षी हैं?	3	6	9	12	birds	birds	birds	birds	6 - 3 = <3>	1	6	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	4	1	2	4	"आस्था ने 4 ब्लॉक चलती है स्कूल के लिए। अलका स्कूल के लिए 2 ब्लॉक चलता है। आस्था अलका की तुलना में स्कूल जाने के लिए और कितने ब्लॉक चलती हैं?"	आस्था ने 4 ब्लॉक चलती है स्कूल के लिए। अलका स्कूल के लिए 2 ब्लॉक चलता है। आस्था अलका की तुलना में स्कूल जाने के लिए और कितने ब्लॉक चलती हैं?	2	4	6	8	blocks	blocks	blocks	blocks	4 - 2 = <2>	1	4	2	0	0					wordwindow-stone-blue.png	wordwindow-stone-red.png		
en-US	4	1	3	4	"लुसी 9 साल की है। उसकी बहन सीमा 6 साल की है। लुसी अपनी बहन सीमा से कितनी बड़ी है?"	लुसी 9 साल की है। उसकी बहन सीमा 6 साल की है। लुसी अपनी बहन सीमा से कितनी बड़ी है?	3	6	9	12	years	years	years	years	9 - 6  = <3>	1	9	6	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	4	1	4	4	"रेहमान ने 7 बिस्कुट और अलका ने 2 बिस्कुट  खाए। रेहमान की तुलना में अलका ने कितने कम बिस्कुट खाए?"	रेहमान ने 7 बिस्कुट और अलका ने 2 बिस्कुट  खाए। रेहमान की तुलना में अलका ने कितने कम बिस्कुट खाए?	3	5	7	9	biscuits	biscuits	biscuits	biscuits	7 - 2 = <5>	2	7	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
